categoria_id,categoria_nombre,slot_id,slot_nombre,frase
fantasia,Fantasía medieval,personaje,Personaje,un caballero errante
fantasia,Fantasía medieval,personaje,Personaje,una hechicera del bosque
fantasia,Fantasía medieval,personaje,Personaje,un herrero real
fantasia,Fantasía medieval,personaje,Personaje,un juglar itinerante
fantasia,Fantasía medieval,criatura,Criatura,un dragón anciano
fantasia,Fantasía medieval,criatura,Criatura,un ogro de las montañas
fantasia,Fantasía medieval,criatura,Criatura,una arpía de alas doradas
fantasia,Fantasía medieval,criatura,Criatura,un trasgo de las cuevas
fantasia,Fantasía medieval,animal,Animal,un caballo blanco
fantasia,Fantasía medieval,animal,Animal,un halcón peregrino
fantasia,Fantasía medieval,animal,Animal,un lobo gris
fantasia,Fantasía medieval,animal,Animal,un cuervo negro
fantasia,Fantasía medieval,vehiculo,Vehículo,una carreta de madera
fantasia,Fantasía medieval,vehiculo,Vehículo,un carruaje real
fantasia,Fantasía medieval,vehiculo,Vehículo,una balsa de troncos
fantasia,Fantasía medieval,vehiculo,Vehículo,un carro de guerra
fantasia,Fantasía medieval,objeto,Objeto,un pergamino enrollado
fantasia,Fantasía medieval,objeto,Objeto,una llave de bronce
fantasia,Fantasía medieval,objeto,Objeto,un cofre pequeño
fantasia,Fantasía medieval,objeto,Objeto,un candelabro de hierro
fantasia,Fantasía medieval,atributo,Atributo,con una cicatriz en forma de estrella
fantasia,Fantasía medieval,atributo,Atributo,con ojos que brillan en la oscuridad
fantasia,Fantasía medieval,atributo,Atributo,con una cola hecha de fuego frío
fantasia,Fantasía medieval,atributo,Atributo,con la piel cubierta de escamas doradas
fantasia,Fantasía medieval,ropa,Ropa,con una capa raída
fantasia,Fantasía medieval,ropa,Ropa,con una túnica de terciopelo
fantasia,Fantasía medieval,ropa,Ropa,con una armadura oxidada
fantasia,Fantasía medieval,ropa,Ropa,con un manto bordado
fantasia,Fantasía medieval,accesorio,Accesorio,con un amuleto de piedra
fantasia,Fantasía medieval,accesorio,Accesorio,con un anillo de sello
fantasia,Fantasía medieval,accesorio,Accesorio,con una corona de laurel
fantasia,Fantasía medieval,accesorio,Accesorio,con unos guantes de cuero fino
fantasia,Fantasía medieval,arma,Arma,con una espada de doble filo
fantasia,Fantasía medieval,arma,Arma,con un arco largo
fantasia,Fantasía medieval,arma,Arma,con una lanza de roble
fantasia,Fantasía medieval,arma,Arma,con un hacha de guerra
fantasia,Fantasía medieval,habilidad,Habilidad,que puede lanzar hechizos de fuego
fantasia,Fantasía medieval,habilidad,Habilidad,que puede hablar con los animales
fantasia,Fantasía medieval,habilidad,Habilidad,que tiene fuerza sobrehumana
fantasia,Fantasía medieval,habilidad,Habilidad,que puede volverse invisible
fantasia,Fantasía medieval,material,Material,hecho de oro macizo
fantasia,Fantasía medieval,material,Material,hecho de piedra tallada
fantasia,Fantasía medieval,material,Material,hecho de madera de roble
fantasia,Fantasía medieval,material,Material,hecho de hierro forjado
fantasia,Fantasía medieval,lugar,Lugar,frente a un castillo en ruinas
fantasia,Fantasía medieval,lugar,Lugar,dentro de una taberna iluminada por velas
fantasia,Fantasía medieval,lugar,Lugar,en lo alto de una torre de piedra
fantasia,Fantasía medieval,lugar,Lugar,junto a un puente de piedra sobre un río
fantasia,Fantasía medieval,clima,Clima,bajo una tormenta de rayos
fantasia,Fantasía medieval,clima,Clima,con niebla espesa cubriendo el suelo
fantasia,Fantasía medieval,clima,Clima,durante una nevada silenciosa
fantasia,Fantasía medieval,clima,Clima,bajo un cielo rojizo al atardecer
fantasia,Fantasía medieval,accion,Acción,mientras desenvaina su espada
fantasia,Fantasía medieval,accion,Acción,mientras lee un libro de hechizos
fantasia,Fantasía medieval,accion,Acción,mientras cabalga a toda velocidad
fantasia,Fantasía medieval,accion,Acción,mientras enciende una hoguera
fantasia,Fantasía medieval,planta,Planta,rodeado de enredaderas espinosas
fantasia,Fantasía medieval,planta,Planta,junto a un roble centenario
fantasia,Fantasía medieval,planta,Planta,entre flores silvestres moradas
fantasia,Fantasía medieval,planta,Planta,cerca de un árbol retorcido sin hojas
fantasia,Fantasía medieval,comida,Comida,sosteniendo una jarra de cerveza
fantasia,Fantasía medieval,comida,Comida,comiendo un trozo de pan con queso
fantasia,Fantasía medieval,comida,Comida,con un cuenco de estofado humeante
fantasia,Fantasía medieval,comida,Comida,sosteniendo una manzana roja
editorial,Editorial y cartoon,personaje,Personaje,un político con cara de circunstancia
editorial,Editorial y cartoon,personaje,Personaje,una abuela chismosa
editorial,Editorial y cartoon,personaje,Personaje,un oficinista estresado
editorial,Editorial y cartoon,personaje,Personaje,un influencer exagerado
editorial,Editorial y cartoon,criatura,Criatura,un monstruo de closet tímido
editorial,Editorial y cartoon,criatura,Criatura,un fantasma torpe
editorial,Editorial y cartoon,criatura,Criatura,un duende de oficina
editorial,Editorial y cartoon,criatura,Criatura,un extraterrestre confundido
editorial,Editorial y cartoon,animal,Animal,un gato gordo
editorial,Editorial y cartoon,animal,Animal,un perro salchicha
editorial,Editorial y cartoon,animal,Animal,un pingüino regordete
editorial,Editorial y cartoon,animal,Animal,una gallina despeinada
editorial,Editorial y cartoon,vehiculo,Vehículo,un auto viejo y abollado
editorial,Editorial y cartoon,vehiculo,Vehículo,una bicicleta oxidada
editorial,Editorial y cartoon,vehiculo,Vehículo,un scooter eléctrico pequeño
editorial,Editorial y cartoon,vehiculo,Vehículo,una patineta desgastada
editorial,Editorial y cartoon,objeto,Objeto,un maletín gastado
editorial,Editorial y cartoon,objeto,Objeto,una taza de café gigante
editorial,Editorial y cartoon,objeto,Objeto,un paraguas roto
editorial,Editorial y cartoon,objeto,Objeto,un teléfono con la pantalla rota
editorial,Editorial y cartoon,atributo,Atributo,con una papada enorme
editorial,Editorial y cartoon,atributo,Atributo,con lentes gruesos que agrandan los ojos
editorial,Editorial y cartoon,atributo,Atributo,con una sonrisa nerviosa exagerada
editorial,Editorial y cartoon,atributo,Atributo,con las cejas permanentemente levantadas
editorial,Editorial y cartoon,ropa,Ropa,con una corbata torcida
editorial,Editorial y cartoon,ropa,Ropa,con una bata de baño
editorial,Editorial y cartoon,ropa,Ropa,con un traje tres tallas más grande
editorial,Editorial y cartoon,ropa,Ropa,con calcetines de rombos desparejados
editorial,Editorial y cartoon,accesorio,Accesorio,con un reloj de pulsera enorme
editorial,Editorial y cartoon,accesorio,Accesorio,con una placa de identificación torcida
editorial,Editorial y cartoon,accesorio,Accesorio,con unos audífonos gigantes
editorial,Editorial y cartoon,accesorio,Accesorio,con un prendedor con forma de dona
editorial,Editorial y cartoon,arma,Arma,con un paraguas como si fuera espada
editorial,Editorial y cartoon,arma,Arma,con un matamoscas gigante
editorial,Editorial y cartoon,arma,Arma,con un megáfono
editorial,Editorial y cartoon,arma,Arma,con una regla de madera como arma improvisada
editorial,Editorial y cartoon,habilidad,Habilidad,que siempre llega tarde a todo
editorial,Editorial y cartoon,habilidad,Habilidad,que se tropieza con sus propios pies
editorial,Editorial y cartoon,habilidad,Habilidad,que grita en las reuniones
editorial,Editorial y cartoon,habilidad,Habilidad,que duerme con los ojos abiertos
editorial,Editorial y cartoon,material,Material,hecho de cartón corrugado
editorial,Editorial y cartoon,material,Material,hecho de plástico barato
editorial,Editorial y cartoon,material,Material,hecho de goma elástica
editorial,Editorial y cartoon,material,Material,hecho de papel reciclado
editorial,Editorial y cartoon,lugar,Lugar,en medio de un embotellamiento
editorial,Editorial y cartoon,lugar,Lugar,dentro de una oficina con cubículos apretados
editorial,Editorial y cartoon,lugar,Lugar,en la fila del supermercado
editorial,Editorial y cartoon,lugar,Lugar,en una sala de espera abarrotada
editorial,Editorial y cartoon,clima,Clima,bajo un sol que derrite el asfalto
editorial,Editorial y cartoon,clima,Clima,con lluvia que arruina el peinado
editorial,Editorial y cartoon,clima,Clima,en un día ventoso que vuela los papeles
editorial,Editorial y cartoon,clima,Clima,bajo un smog espeso
editorial,Editorial y cartoon,accion,Acción,mientras revisa el celular sin parar
editorial,Editorial y cartoon,accion,Acción,mientras derrama el café encima
editorial,Editorial y cartoon,accion,Acción,mientras discute por teléfono
